Fiscal Week Year,AFF,Audio,CTV,Display,Display Dco,Display Mobile,Lead Generation,Other,Social,Video,Total Units
45,2024-W19,0.0,42117.240464,0.0,958836.6772584048,0.0,117182.462541019,15167.135,0.0,609395.354576004,380171.84575821,386144
46,2024-W20,0.0,39384.582279,0.0,817525.5796502569,0.0,111108.73602299699,14209.727,0.0,541342.170205001,358341.237474308,300716
47,2024-W21,0.0,29201.419504004,0.0,950413.5365152841,0.0,102811.783267978,11321.779,0.0,461068.760570001,381887.030130087,334996
48,2024-W22,0.0,67173.906659,0.0,956264.1620805551,0.0,136712.274081997,16107.437000000002,0.0,583656.787903988,382321.136536229,300762
49,2024-W23,0.0,72821.146498,0.0,964292.1871846053,0.0,138569.602202026,17125.009000001,0.0,681794.549587008,355859.931263963,479892
50,2024-W24,0.0,49371.114985999,0.0,930778.8990889604,0.0,146145.879295975,15030.353,0.0,682066.743688996,329434.450435864,576036
51,2024-W25,0.0,16139.096168,0.0,747987.5622001946,0.0,61274.322647009,3299.843999999,0.0,565566.508739003,235131.296111379,315441
52,2024-W26,0.0,15727.419855,0.0,840940.5829661466,0.0,41082.711535007,11.348,0.0,607233.227612004,179969.316877492,303821
53,2024-W27,0.0,23765.133312500002,0.0,410154.315585259,0.0,71003.503171,2968.0,0.0,399873.265059002,329478.304632001,358111
54,2024-W28,0.0,76960.236,0.0,665570.149661144,0.0,79495.107967004,6468.474999999999,0.0,484478.373898,426866.878250916,342490
55,2024-W29,0.0,68854.5761625,0.0,771788.7353607776,0.0,87715.994464,6580.55,0.0,528979.706815002,417270.717168827,313797
56,2024-W30,0.0,46657.5350625,0.0,916612.121705524,0.0,106186.138546021,6783.900000000001,0.0,661855.945621002,430014.604832195,306217
57,2024-W31,0.0,41688.105625000004,0.0,904755.439974684,0.0,113148.743299996,7823.8,0.0,632007.568290004,428141.925440036,309569
58,2024-W32,0.0,50264.62025000001,0.0,923859.4471203976,0.0,110031.88911,8890.1,0.0,581496.739007002,421750.133870768,367807
59,2024-W33,0.0,44960.86725,0.0,952665.894475055,0.0,94234.216144997,7706.975,0.0,524783.430551004,378519.94898726797,344277
60,2024-W34,0.0,42705.928875,0.0,913548.532035194,0.0,91485.024126,7493.5380000000005,0.0,570482.2619009999,385582.01341062697,316105
61,2024-W35,0.0,0.0,0.0,484358.456363117,0.0,69876.223665,6901.97,0.0,474465.432430002,86592.673741,406348
62,2024-W36,0.0,0.0,0.0,66480.44468917,0.0,13169.103373,830.5,0.0,65997.295747,13632.250158,350170
